Scenario,Scenario_ID,Controller,Vehicle Wait Mean (s),Vehicle Wait 95% CI,Ambulance Time Mean (s),Ambulance Time 95% CI,Extra Civilian Delay (s),Extra Delay 95% CI,Throughput (cpm),Paired Diff vs Fixed Hard (s),Paired CI vs Fixed Hard,Paired Diff vs Rule Hard (s),Paired CI vs Rule Hard,Paired Diff vs Fixed NoPreempt (s),Paired CI vs Fixed NoPreempt,Paired Diff vs Rule NoPreempt (s),Paired CI vs Rule NoPreempt,Route_Description,Warmup_Dispatch_Tick
Moderate Load (75-80% Saturation),moderate_load,Fixed-Timing (No Preemption),27.49,"[27.15, 27.83]",50.45,"[45.74, 55.16]",0.0,"[0.0, 0.0]",99.23,18.3,"[10.55, 26.05]",22.6,"[17.86, 27.34]",0.0,"[0.0, 0.0]",14.2,"[8.77, 19.63]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Fixed + Hard Preemption,29.56,"[28.73, 30.4]",32.15,"[26.82, 37.48]",2.07,"[1.31, 2.84]",99.23,0.0,"[0.0, 0.0]",4.3,"[-0.82, 9.42]",-18.3,"[-26.05, -10.55]",-4.1,"[-9.26, 1.06]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Rule-Based (tuned) (No Preemption),15.21,"[14.91, 15.51]",36.25,"[32.37, 40.13]",0.0,"[0.0, 0.0]",101.8,4.1,"[-1.06, 9.26]",8.4,"[4.94, 11.86]",-14.2,"[-19.63, -8.77]",0.0,"[0.0, 0.0]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Rule-Based (tuned) + Hard Preemption,15.72,"[15.39, 16.06]",27.85,"[26.18, 29.52]",0.52,"[0.07, 0.97]",101.71,-4.3,"[-9.42, 0.82]",0.0,"[0.0, 0.0]",-22.6,"[-27.34, -17.86]",-8.4,"[-11.86, -4.94]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Hybrid (Brute-Force) (No Preemption),18.06,"[17.83, 18.3]",36.7,"[32.22, 41.18]",0.0,"[0.0, 0.0]",100.87,4.55,"[0.45, 8.65]",8.85,"[4.79, 12.91]",-13.75,"[-20.76, -6.74]",0.45,"[-3.38, 4.28]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Hybrid (Brute-Force) + Hard Preemption,18.81,"[18.41, 19.21]",29.9,"[27.84, 31.96]",0.74,"[0.39, 1.1]",101.03,-2.25,"[-7.6, 3.1]",2.05,"[-0.26, 4.36]",-20.55,"[-26.43, -14.67]",-6.35,"[-10.42, -2.28]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Moderate Load (75-80% Saturation),moderate_load,Hybrid (Brute-Force) (Soft QUBO),18.66,"[18.27, 19.04]",30.5,"[27.86, 33.14]",0.59,"[0.31, 0.88]",101.04,-1.65,"[-6.73, 3.43]",2.65,"[-0.27, 5.57]",-19.95,"[-26.13, -13.77]",-5.75,"[-9.73, -1.77]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Fixed-Timing (No Preemption),105.2,"[103.78, 106.61]",93.7,"[77.51, 109.89]",0.0,"[0.0, 0.0]",105.23,19.7,"[9.71, 29.69]",39.2,"[21.58, 56.82]",0.0,"[0.0, 0.0]",12.45,"[-6.38, 31.28]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Fixed + Hard Preemption,109.92,"[108.11, 111.74]",74.0,"[62.95, 85.05]",4.73,"[3.61, 5.85]",103.8,0.0,"[0.0, 0.0]",19.5,"[8.39, 30.61]",-19.7,"[-29.69, -9.71]",-7.25,"[-20.18, 5.68]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Rule-Based (tuned) (No Preemption),81.15,"[78.84, 83.47]",81.25,"[67.83, 94.67]",0.0,"[0.0, 0.0]",117.45,7.25,"[-5.68, 20.18]",26.75,"[14.64, 38.86]",-12.45,"[-31.28, 6.38]",0.0,"[0.0, 0.0]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Rule-Based (tuned) + Hard Preemption,82.81,"[80.55, 85.06]",54.5,"[47.83, 61.17]",1.65,"[1.11, 2.2]",116.92,-19.5,"[-30.61, -8.39]",0.0,"[0.0, 0.0]",-39.2,"[-56.82, -21.58]",-26.75,"[-38.86, -14.64]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Hybrid (Brute-Force) (No Preemption),80.53,"[77.9, 83.16]",80.9,"[68.39, 93.41]",0.0,"[0.0, 0.0]",117.91,6.9,"[-7.68, 21.48]",26.4,"[12.68, 40.12]",-12.8,"[-32.98, 7.38]",-0.35,"[-13.79, 13.09]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Hybrid (Brute-Force) + Hard Preemption,83.18,"[80.29, 86.06]",49.7,"[41.7, 57.7]",2.65,"[1.77, 3.53]",117.15,-24.3,"[-37.61, -10.99]",-4.8,"[-9.98, 0.38]",-44.0,"[-62.77, -25.23]",-31.55,"[-45.13, -17.97]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
Rush-Hour (3x Arterial Demand),rush_hour,Hybrid (Brute-Force) (Soft QUBO),82.63,"[80.03, 85.22]",57.2,"[47.23, 67.17]",2.1,"[1.18, 3.01]",117.07,-16.8,"[-32.35, -1.25]",2.7,"[-4.53, 9.93]",-36.5,"[-57.64, -15.36]",-24.05,"[-39.76, -8.34]","Path [0, 1, 2, 5], 4 nodes, 3 links (0->1, 1->2, 2->5), 24.0s free-flow",120
