scenario,lost_time_sec,controller,seeds_evaluated,avg_wait_sec,wait_95_ci,throughput_cpm,throughput_95_ci,total_switches,switches_95_ci,avg_pedestrian_wait_sec,pedestrian_wait_95_ci,paired_diff_vs_fixed_sec,paired_ci_vs_fixed,ambulance_present,pedestrians_present
balanced,0,Fixed (tuned),20,86.97,"[85.34, 88.61]",147.54,"[146.90, 148.19]",234.0,"[234.0, 234.0]",4.38,"[4.29, 4.48]",15.48,"[14.66, 16.3]",False,True
balanced,0,Fixed-Timing Baseline,20,102.45,"[100.35, 104.55]",138.41,"[138.10, 138.71]",114.0,"[114.0, 114.0]",7.65,"[7.30, 8.01]",0.0,"[0.0, 0.0]",False,True
balanced,0,Hybrid (uncoupled),20,100.45,"[97.72, 103.18]",133.54,"[131.26, 135.82]",1195.4,"[1170.2, 1220.6]",0.86,"[0.81, 0.92]",2.0,"[0.16, 3.84]",False,True
balanced,0,Hybrid Controller (Brute-Force),20,89.62,"[87.58, 91.66]",144.37,"[143.89, 144.85]",1457.2,"[1431.2, 1483.2]",0.85,"[0.81, 0.88]",12.83,"[12.05, 13.61]",False,True
balanced,0,Max-Pressure (tuned),20,97.93,"[95.64, 100.21]",137.7,"[136.33, 139.08]",478.8,"[474.0, 483.6]",2.33,"[2.24, 2.42]",4.53,"[3.47, 5.58]",False,True
balanced,0,Rule-Based (tuned),20,101.16,"[98.35, 103.97]",133.2,"[130.74, 135.67]",491.5,"[481.6, 501.4]",2.37,"[2.15, 2.59]",1.29,"[-0.56, 3.14]",False,True
balanced,2,Fixed (tuned),40,103.34,"[102.58, 104.11]",136.22,"[135.52, 136.91]",114.0,"[114.0, 114.0]",9.48,"[9.32, 9.65]",12.85,"[11.85, 13.85]",False,True
balanced,2,Fixed-Timing Baseline,40,116.19,"[114.84, 117.55]",129.03,"[128.83, 129.22]",114.0,"[114.0, 114.0]",7.65,"[7.41, 7.89]",0.0,"[0.0, 0.0]",False,True
balanced,2,"Hybrid (QAOA Polish, 5 seeds)",5,114.25,"[108.21, 120.28]",129.98,"[128.20, 131.76]",109.6,"[101.3, 117.9]",7.79,"[6.95, 8.63]",-1.18,"[-3.78, 1.43]",False,True
balanced,2,"Hybrid (QAOA Raw, 5 seeds)",5,128.5,"[122.09, 134.91]",121.18,"[116.55, 125.81]",111.6,"[100.1, 123.1]",9.41,"[8.46, 10.36]",-15.43,"[-18.07, -12.79]",False,True
