scenario,controller,n_seeds,ped_wait_mean,ped_wait_ci,paired_diff_vs_fixed,paired_ci_vs_fixed,paired_diff_vs_rule,paired_ci_vs_rule
balanced,Fixed-Timing Baseline,20,7.65,"[7.3, 8.01]",0.0,"[0.0, 0.0]",3.36,"[2.89, 3.84]"
balanced,Rule-Based (Longest Queue),20,4.29,"[3.98, 4.6]",-3.36,"[-3.84, -2.89]",0.0,"[0.0, 0.0]"
balanced,Hybrid (Brute-Force),20,3.52,"[3.32, 3.72]",-4.13,"[-4.51, -3.75]",-0.77,"[-1.12, -0.42]"
balanced,Hybrid (QAOA),20,4.35,"[4.02, 4.67]",-3.31,"[-3.84, -2.78]",0.06,"[-0.29, 0.4]"
moderate_load,Fixed-Timing Baseline,20,7.65,"[7.3, 8.01]",0.0,"[0.0, 0.0]",4.35,"[3.94, 4.76]"
moderate_load,Rule-Based (Longest Queue),20,3.31,"[3.15, 3.46]",-4.35,"[-4.76, -3.94]",0.0,"[0.0, 0.0]"
moderate_load,Hybrid (Brute-Force),20,2.91,"[2.79, 3.03]",-4.75,"[-5.12, -4.37]",-0.4,"[-0.59, -0.21]"
moderate_load,Hybrid (QAOA),20,3.26,"[3.04, 3.49]",-4.39,"[-4.85, -3.93]",-0.04,"[-0.33, 0.24]"
rush_hour,Fixed-Timing Baseline,20,7.65,"[7.3, 8.01]",0.0,"[0.0, 0.0]",-1.1,"[-1.92, -0.27]"
rush_hour,Rule-Based (Longest Queue),20,8.75,"[8.05, 9.44]",1.1,"[0.27, 1.92]",0.0,"[0.0, 0.0]"
rush_hour,Hybrid (Brute-Force),20,6.99,"[6.43, 7.55]",-0.66,"[-1.45, 0.13]",-1.76,"[-2.27, -1.25]"
rush_hour,Hybrid (QAOA),20,7.43,"[6.98, 7.87]",-0.23,"[-0.85, 0.39]",-1.32,"[-1.99, -0.66]"
surge_accident,Fixed-Timing Baseline,20,7.65,"[7.3, 8.01]",0.0,"[0.0, 0.0]",-0.12,"[-1.1, 0.86]"
surge_accident,Rule-Based (Longest Queue),20,7.77,"[6.92, 8.61]",0.12,"[-0.86, 1.1]",0.0,"[0.0, 0.0]"
surge_accident,Hybrid (Brute-Force),20,5.77,"[5.42, 6.12]",-1.88,"[-2.49, -1.28]",-2.0,"[-2.67, -1.33]"
surge_accident,Hybrid (QAOA),20,6.77,"[6.32, 7.23]",-0.88,"[-1.54, -0.22]",-1.0,"[-1.72, -0.27]"
